Date,Year,Month,Day,Data Quality,Max,Max Temp Flag,Min,Min Temp Flag,Mean,Mean Temp Flag,Heat Deg Days (¡C),Heat Deg Days Flag,Cool Deg Days (¡C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
14-09-03,2014,9,3, ,19.9,,12.2,,16.1,,1.9,,0,,,M,,M,0,,,,,M,,M
14-09-04,2014,9,4, ,19.7,,11,,15.4,,2.6,,0,,,M,,M,0,,,,,M,,M
14-09-05,2014,9,5, ,21,,12.2,,16.6,,1.4,,0,,,M,,M,0,,,,,M,,M
14-09-06,2014,9,6, ,25.6,,13,,19.3,,0,,1.3,,,M,,M,0,,,,,M,,M
14-09-07,2014,9,7, ,25.1,,13.5,,19.3,,0,,1.3,,,M,,M,0,,,,,M,,M
14-09-08,2014,9,8, ,22.5,,14.1,,18.3,,0,,0.3,,,M,,M,0,,,,,M,,M
14-09-09,2014,9,9, ,20.5,,13.4,,17,,1,,0,,,M,,M,0,,,,,M,,M
14-09-10,2014,9,10, ,19.5,,13.1,,16.3,,1.7,,0,,,M,,M,0,,,,,M,,M
14-09-11,2014,9,11, ,20.3,,9.5,,14.9,,3.1,,0,,,M,,M,0,,,,,M,,M
14-09-12,2014,9,12, ,21.8,,9.8,,15.8,,2.2,,0,,,M,,M,0,,,,,M,,M
14-09-13,2014,9,13, ,22.9,,11,,17,,1,,0,,,M,,M,0,,,,,M,,M
14-09-14,2014,9,14, ,24.2,,11.7,,18,,0,,0,,,M,,M,0,,,,,M,,M
14-09-15,2014,9,15, ,25.3,,12.1,,18.7,,0,,0.7,,,M,,M,0,,,,,M,,M
14-09-16,2014,9,16, ,25,,12.4,,18.7,,0,,0.7,,,M,,M,0,,,,,M,,M
14-09-17,2014,9,17, ,19.4,,15.5,,17.5,,0.5,,0,,,M,,M,0,T,,,,M,,M
14-09-18,2014,9,18, ,17.1,,15.1,,16.1,,1.9,,0,,,M,,M,0.2,,,,,M,,M
14-09-19,2014,9,19, ,17.8,,14.7,,16.3,,1.7,,0,,,M,,M,7.9,,,,,M,,M
14-09-20,2014,9,20, ,20.4,,12.6,,16.5,,1.5,,0,,,M,,M,0,,,,,M,,M
14-09-21,2014,9,21, ,26.2,,12.8,,19.5,,0,,1.5,,,M,,M,0,,,,,M,,M
14-09-22,2014,9,22, ,18.7,,14.9,,16.8,,1.2,,0,,,M,,M,0.6,,,,,M,,M
14-09-23,2014,9,23, ,17.3,,14.4,,15.9,,2.1,,0,,,M,,M,10.3,,,,,M,,M
14-09-24,2014,9,24, ,18.7,,14.6,,16.7,,1.3,,0,,,M,,M,12.9,,,,,M,,M
14-09-25,2014,9,25, ,17.7,,14.6,,16.2,,1.8,,0,,,M,,M,0,T,,,,M,,M
14-09-26,2014,9,26, ,15.4,,13.7,,14.6,,3.4,,0,,,M,,M,34.5,,,,,M,,M
14-09-27,2014,9,27, ,17.1,,11.7,,14.4,,3.6,,0,,,M,,M,0,,,,,M,,M
14-09-28,2014,9,28, ,19.3,,11,,15.2,,2.8,,0,,,M,,M,0,,,,,M,,M
14-09-29,2014,9,29, ,14.7,,12.6,,13.7,,4.3,,0,,,M,,M,17,,,,,M,,M
14-09-30,2014,9,30, ,17.1,,10.1,,13.6,,4.4,,0,,,M,,M,0.4,,,,,M,,M
14-10-01,2014,10,1, ,15.8,,9.7,,12.8,,5.2,,0,,,M,,M,0,,,,,M,,M
14-10-02,2014,10,2, ,16.5,,9.4,,13,,5,,0,,,M,,M,0,,,,,M,,M
14-10-03,2014,10,3, ,18,,9.7,,13.9,,4.1,,0,,,M,,M,0,T,,,,M,,M
14-10-04,2014,10,4, ,19.4,,13.3,,16.4,,1.6,,0,,,M,,M,2.5,,,,,M,,M
14-10-05,2014,10,5, ,20.7,,13.8,,17.3,,0.7,,0,,,M,,M,0,,,,,M,,M
14-10-06,2014,10,6, ,19.2,,13.1,,16.2,,1.8,,0,,,M,,M,0,,,,,M,,M
14-10-07,2014,10,7, ,18.1,,12.1,,15.1,,2.9,,0,,,M,,M,0,,,,,M,,M
14-10-08,2014,10,8, ,17.2,,12.9,,15.1,,2.9,,0,,,M,,M,0,,,,,M,,M
14-10-09,2014,10,9, ,18.2,,12.7,,15.5,,2.5,,0,,,M,,M,0,,,,,M,,M
14-10-10,2014,10,10, ,16.3,,12,,14.2,,3.8,,0,,,M,,M,1,,,,,M,,M
14-10-11,2014,10,11, ,16.7,,11.6,,14.2,,3.8,,0,,,M,,M,6.4,,,,,M,,M
14-10-12,2014,10,12, ,14.1,,11.1,,12.6,,5.4,,0,,,M,,M,2.9,,,,,M,,M
14-10-13,2014,10,13, ,15.4,,11.9,,13.7,,4.3,,0,,,M,,M,20.9,,,,,M,,M
14-10-14,2014,10,14, ,14.5,,10.9,,12.7,,5.3,,0,,,M,,M,3.6,,,,,M,,M
14-10-15,2014,10,15, ,13,,10.2,,11.6,,6.4,,0,,,M,,M,12.9,,,,,M,,M
14-10-16,2014,10,16, ,14.5,,11.6,,13.1,,4.9,,0,,,M,,M,0,,,,,M,,M
14-10-17,2014,10,17, ,14.2,,11.8,,13,,5,,0,,,M,,M,14.3,,,,,M,,M
14-10-18,2014,10,18, ,17.2,,12.7,,15,,3,,0,,,M,,M,1,,,,,M,,M
14-10-19,2014,10,19, ,20.2,,13.7,,17,,1,,0,,,M,,M,1.5,,,,,M,,M
14-10-20,2014,10,20, ,16.9,,12.7,,14.8,,3.2,,0,,,M,,M,4.1,,,,,M,,M
14-10-21,2014,10,21, ,14.5,,12.2,,13.4,,4.6,,0,,,M,,M,6.8,,,,,M,,M
14-10-22,2014,10,22, ,15.4,,11.5,,13.5,,4.5,,0,,,M,,M,20.5,,,,,M,,M
14-10-23,2014,10,23, ,13.6,,9.4,,11.5,,6.5,,0,,,M,,M,14.3,,,,,M,,M
14-10-24,2014,10,24, ,13.9,,9.5,,11.7,,6.3,,0,,,M,,M,0,,,,,M,,M
14-10-25,2014,10,25, ,11.8,,8.9,,10.4,,7.6,,0,,,M,,M,28.3,,,,,M,,M
14-10-26,2014,10,26, ,12.8,,7.5,,10.2,,7.8,,0,,,M,,M,1.1,,,,,M,,M
14-10-27,2014,10,27, ,12.1,,8.2,,10.2,,7.8,,0,,,M,,M,1.6,,,,,M,,M
14-10-28,2014,10,28, ,13.1,,9.5,,11.3,,6.7,,0,,,M,,M,20.9,,,,,M,,M
14-10-29,2014,10,29, ,17,,11.8,,14.4,,3.6,,0,,,M,,M,4.4,,,,,M,,M
14-10-30,2014,10,30, ,13.2,,11,,12.1,,5.9,,0,,,M,,M,17.5,,,,,M,,M
14-10-31,2014,10,31, ,12.3,,9.6,,11,,7,,0,,,M,,M,8.1,,,,,M,,M
14-11-01,2014,11,1, ,12.5,,6.1,,9.3,,8.7,,0,,,M,,M,0,,,,,M,,M
14-11-02,2014,11,2, ,10.3,,9,,9.7,,8.3,,0,,,M,,M,10,,,,,M,,M
14-11-03,2014,11,3, ,12.2,,9.4,,10.8,,7.2,,0,,,M,,M,53,,,,,M,,M
14-11-04,2014,11,4, ,14.5,,9.8,,12.2,,5.8,,0,,,M,,M,11.7,,,,,M,,M
14-11-05,2014,11,5, ,12.2,,9.8,,11,,7,,0,,,M,,M,3.3,,,,,M,,M
14-11-06,2014,11,6, ,15.4,,10.6,,13,,5,,0,,,M,,M,35.6,,,,,M,,M
14-11-07,2014,11,7, ,12.7,,7.9,,10.3,,7.7,,0,,,M,,M,NA,M,,,,M,,M
14-11-08,2014,11,8, ,12.4,,5.9,,9.2,,8.8,,0,,,M,,M,0,,,,,M,,M
14-11-09,2014,11,9, ,11.2,,6.2,,8.7,,9.3,,0,,,M,,M,18.7,,,,,M,,M
14-11-10,2014,11,10, ,10.9,,3.7,,7.3,,10.7,,0,,,M,,M,0,,,,,M,,M
14-11-11,2014,11,11, ,9.1,,3.3,,6.2,,11.8,,0,,,M,,M,0,,,,,M,,M
14-11-12,2014,11,12, ,7.9,,-1.1,,3.4,,14.6,,0,,,M,,M,0,,,,,M,,M
14-11-13,2014,11,13, ,7.1,,-0.3,,3.4,,14.6,,0,,,M,,M,0,,,,,M,,M
14-11-14,2014,11,14, ,7.5,,-0.9,,3.3,,14.7,,0,,,M,,M,NA,M,,,,M,,M
14-11-15,2014,11,15, ,7.4,,-0.9,,3.3,,14.7,,0,,,M,,M,0,,,,,M,,M
14-11-16,2014,11,16, ,7.6,,-0.8,,3.4,,14.6,,0,,,M,,M,0,,,,,M,,M
14-11-17,2014,11,17, ,8.1,,-0.1,,4,,14,,0,,,M,,M,0,,,,,M,,M
14-11-18,2014,11,18, ,8,,1.8,,4.9,,13.1,,0,,,M,,M,0,,,,,M,,M
14-11-19,2014,11,19, ,8.5,,4.2,,6.4,,11.6,,0,,,M,,M,0,,,,,M,,M
14-11-20,2014,11,20, ,11.4,,7.5,,9.5,,8.5,,0,,,M,,M,9.1,,,,,M,,M
14-11-21,2014,11,21, ,9.8,,8.3,,9.1,,8.9,,0,,,M,,M,39.7,,,,,M,,M
14-11-22,2014,11,22, ,12.9,,5.8,,9.4,,8.6,,0,,,M,,M,0,,,,,M,,M
14-11-23,2014,11,23, ,10.7,,5.7,,8.2,,9.8,,0,,,M,,M,17,,,,,M,,M
14-11-24,2014,11,24, ,8.4,,5.3,,6.9,,11.1,,0,,,M,,M,19.7,,,,,M,,M
14-11-25,2014,11,25, ,7.8,,5.3,,6.6,,11.4,,0,,,M,,M,28.2,,,,,M,,M
14-11-26,2014,11,26, ,11.7,,5.4,,8.6,,9.4,,0,,,M,,M,10.1,,,,,M,,M
14-11-27,2014,11,27, ,14.2,,10.8,,12.5,,5.5,,0,,,M,,M,3.8,,,,,M,,M
14-11-28,2014,11,28, ,12.7,,2.5,,7.6,,10.4,,0,,,M,,M,1.5,,,,,M,,M
14-11-29,2014,11,29, ,2.6,,-3.1,,-0.3,,18.3,,0,,,M,,M,1.8,,,,,M,,M
14-11-30,2014,11,30, ,1.5,,-4.5,,-1.5,,19.5,,0,,,M,,M,0,,,,,M,,M
14-12-01,2014,12,1, ,3.5,,-2.5,,0.5,,17.5,,0,,,M,,M,0,,,,,M,,M
14-12-02,2014,12,2, ,5.4,,-2.3,,1.6,,16.4,,0,,,M,,M,0,,,,,M,,M
14-12-03,2014,12,3, ,7.6,,-0.7,,3.5,,14.5,,0,,,M,,M,0,,,,,M,,M
14-12-04,2014,12,4, ,5.8,,1,,3.4,,14.6,,0,,,M,,M,3.5,,,,,M,,M
14-12-05,2014,12,5, ,8,,4.5,,6.3,,11.7,,0,,,M,,M,4.2,,,,,M,,M
14-12-06,2014,12,6, ,9.2,,6.6,,7.9,,10.1,,0,,,M,,M,39.4,,,,,M,,M
14-12-07,2014,12,7, ,11.7,,7.4,,9.6,,8.4,,0,,,M,,M,0,,,,,M,,M
14-12-08,2014,12,8, ,12.4,,7.9,,10.2,,7.8,,0,,,M,,M,14.4,,,,,M,,M
14-12-09,2014,12,9, ,14.4,,10,,12.2,,5.8,,0,,,M,,M,35.8,,,,,M,,M
14-12-10,2014,12,10, ,13.4,,9.8,,11.6,,6.4,,0,,,M,,M,39,,,,,M,,M
14-12-11,2014,12,11, ,13.1,,8.5,,10.8,,7.2,,0,,,M,,M,9.6,,,,,M,,M
14-12-12,2014,12,12, ,12.8,,6.2,,9.5,,8.5,,0,,,M,,M,0.2,,,,,M,,M
14-12-13,2014,12,13, ,8.2,,4.3,,6.3,,11.7,,0,,,M,,M,0,,,,,M,,M
14-12-14,2014,12,14, ,8.4,,1.9,,5.2,,12.8,,0,,,M,,M,0,,,,,M,,M
14-12-15,2014,12,15, ,7.5,,0.6,,4.1,,13.9,,0,,,M,,M,0,,,,,M,,M
14-12-16,2014,12,16, ,8.5,,5.3,,6.9,,11.1,,0,,,M,,M,0.6,,,,,M,,M
14-12-17,2014,12,17, ,8.6,,6.3,,7.5,,10.5,,0,,,M,,M,1.4,,,,,M,,M
14-12-18,2014,12,18, ,9.2,,6.8,,8,,10,,0,,,M,,M,10.9,,,,,M,,M
14-12-19,2014,12,19, ,9.2,,7.6,,8.4,,9.6,,0,,,M,,M,5.2,,,,,M,,M
14-12-20,2014,12,20, ,8.8,,6.8,,7.8,,10.2,,0,,,M,,M,31.1,,,,,M,,M
14-12-21,2014,12,21, ,9.2,,6.1,,7.7,,10.3,,0,,,M,,M,5.9,,,,,M,,M
14-12-22,2014,12,22, ,7.7,,3.6,,5.7,,12.3,,0,,,M,,M,NA,M,,,,M,,M
14-12-23,2014,12,23, ,8.4,,6.1,,7.3,,10.7,,0,,,M,,M,6.9,,,,,M,,M
14-12-24,2014,12,24, ,8,,4.1,,6.1,,11.9,,0,,,M,,M,0,,,,,M,,M
14-12-25,2014,12,25, ,8.4,,3.3,,5.9,,12.1,,0,,,M,,M,0,,,,,M,,M
14-12-26,2014,12,26, ,5.9,,3.3,,4.6,,13.4,,0,,,M,,M,0,,,,,M,,M
14-12-27,2014,12,27, ,6.1,,3.6,,4.9,,13.1,,0,,,M,,M,11.4,,,,,M,,M
14-12-28,2014,12,28, ,5.4,,1,,3.2,,14.8,,0,,,M,,M,0,,,,,M,,M
14-12-29,2014,12,29, ,7.8,,0.7,,4.3,,13.7,,0,,,M,,M,0,,,,,M,,M
14-12-30,2014,12,30, ,3.9,,-2.4,,0.8,,17.2,,0,,,M,,M,0,,,,,M,,M
14-12-31,2014,12,31, ,3.7,,-1.3,,1.2,,16.8,,0,,,M,,M,NA,M,,,,M,,M
